"","gene"
"193","ENSDARG00000014554,ppp1r3cb,12,protein_coding"
"194","ENSDARG00000006915,arl8ba,6,protein_coding"
"195","ENSDARG00000016745,slc35f6,20,protein_coding"
"196","ENSDARG00000020771,tnr,2,protein_coding"
"197","ENSDARG00000010625,clic2,14,protein_coding"
"198","ENSDARG00000007823,atf3,20,protein_coding"
"199","ENSDARG00000019881,bsg,22,protein_coding"
"200","ENSDARG00000056184,dvl2,7,protein_coding"
"201","ENSDARG00000016470,anxa5b,1,protein_coding"
"202","ENSDARG00000052617,raver1,3,protein_coding"
"203","ENSDARG00000020645,slc7a3a,21,protein_coding"
"204","ENSDARG00000022807,PITPNC1,16,protein_coding"
"205","ENSDARG00000038683,,1,protein_coding"
"206","ENSDARG00000024940,rnf144b,16,protein_coding"
"207","ENSDARG00000022315,atp6v1g1,5,protein_coding"
"208","ENSDARG00000057853,atp6v0ca,3,protein_coding"
"209","ENSDARG00000034817,asah1b,1,protein_coding"
"210","ENSDARG00000011662,chuk,13,protein_coding"
"211","ENSDARG00000030364,angpt1,19,protein_coding"
"212","ENSDARG00000024116,vamp8,5,protein_coding"
"213","ENSDARG00000003754,tspan2a,6,protein_coding"
"214","ENSDARG00000005112,cdh17,16,protein_coding"
"215","ENSDARG00000028583,SLC16A3,,"
"216","ENSDARG00000036774,rgs12b,1,protein_coding"
"217","ENSDARG00000004060,bhlhe40,11,protein_coding"
"218","ENSDARG00000032627,SCYL2,4,protein_coding"
"219","ENSDARG00000032868,pde4ba,6,protein_coding"
"220","ENSDARG00000026048,tsc1a,5,protein_coding"
"221","ENSDARG00000027316,tcp11l2,4,protein_coding"
"222","ENSDARG00000026376,aco1,7,protein_coding"
"223","ENSDARG00000076563,zgc:92249,14,protein_coding"
"224","ENSDARG00000012432,fam76b,5,protein_coding"
"225","ENSDARG00000015807,rab22a,6,protein_coding"
"226","ENSDARG00000033609,map1lc3a,11,protein_coding"
"227","ENSDARG00000004037,cog2,13,protein_coding"
"228","ENSDARG00000015917,rnft1,10,protein_coding"
"229","ENSDARG00000005318,stam2,9,protein_coding"
"230","ENSDARG00000038695,elavl1,2,protein_coding"
"231","ENSDARG00000014866,hprt1l,25,protein_coding"
"232","ENSDARG00000030155,ssbp3b,8,protein_coding"
"233","ENSDARG00000025567,nf2b,21,protein_coding"
"234","ENSDARG00000011605,dennd6b,4,protein_coding"
"235","ENSDARG00000003789,dennd5b,4,protein_coding"
"236","ENSDARG00000019392,stat5a,3,protein_coding"
"237","ENSDARG00000002632,anxa11b,12,protein_coding"
"238","ENSDARG00000033227,lect2l,14,protein_coding"
